Name,Sail no.,Type,Design,Designer,Region
Musician,T3764,,Joker 6.7,R Given,
Musket,T2159,,Caribou 20,F Pelin,
Musketeer,1336,Keelboat,Pied Piper,Des T Townson,
Musketeer,T418,Other,Scintilation,R Grenfell,
Musketeer 2,,Other,Sea Nymph,,Nelson/Marlborough
Muskrat,3562,,Stratus 747,A Warwick,
Must-Avit,T3766,,,W McNair,
Mustang,T324,,,TretheweyMarten,
Mustang,L1809,,,Jim Young,
Mustang Sally,9984,Other,,Bruce Farr,
Mustang Sally,8208,Keelboat,Woolley,Woolley,Auckland
Mustang Sally,O550,Keelboat,Farr,Farr,
Mustaway,1254,,,Van de Stadt,
Mustaway,T2516,,Sabre 20,A Scott,
Mutineer,5667,,Marauder,Alan Wright,
Mutlyn,T375,,,E Garrett,
MV Clubhouse,,Launch,,,Auckland
My Destiny,6408,,,J Haaker,
My Fair Lady,T1424,,,Owen Woolley,
MY FIX,9743,Multi-hull,Given,Ron Given,
My Princess,T1018,Trailer Yacht,Trailer Yachts,Bruce Farr,
My Sin,8454,Keelboat,,Lidgard,
My Sundowner,T3476,,Whiting 16,P Whiting,
My Time,220108,Keelboat,Dufour 405 Grande Large,Umberto Felici,Northland
My Way,T2986,,Aquarius 22,C Jeffrey,
Mykai Cariad,T163,Trailer Yacht,Noelex 25,TretheweyMarten,
Mykonos,T3528,Trailer Yacht,Noelex 25,Trethewey/Honey,
Mykonos,6418,,Farr 1020,Bruce Farr,
Myott,6959,,,L Davidson,
Myra,1159,,,,
Myst,2274,Keelboat,Townson 32,D T Townson,
Mysterex,7661,Multi-hull,Nicky Cruz 7.6,Graeme Delaveau,
Mystery,1930,Other,,J Lidgard,
Mystery Achievement,T3504,Trailer Yacht,Ross 780,Murray Ross,Northland
Mystery Girl,5962,Other,,Paul Whiting,
Mystery II,2789,Keelboat,Davidson 28,Laurie Davidson,
Mystery Train,T2610,,,Bruce Farr,
Mystery Tramp,5512,,Farr 727,Bruce Farr,
Mystic,7248,,,A Piver,
Mystic,1162,,,Brohall,
Mystic,T1453,,Merlin,A Mummery,
Mystic II,1253,,,R Salthouse,
Mystic III,3340,Keelboat,,R J Salthouse,
Mystic Lady,8612,,,A W Oceans,
Mystic Lass,543,,,Newfoundland,
Mystic Lass,8194,,,Alan Wright,
Mystic Rose,8126,,,D Ganley,
Mystic Traveler,9206,Keelboat,Caliber 40LRC,George McCreary,Auckland
Mystic V,9942,Keelboat,Bavaria 38,Bavaria,Auckland
Mystical,4710,Keelboat,Tracker,Alan Wright,
Mystified,8185,,,M Orchard,
Mystique,T1582,,,Honey/Trethewey,
Mystique,T273,,,P Whiting,
Mystique,1985,,,L Davidson,
Mystique II,4406,,,J Alden,
Mystique III,T3,,,Alan Wright,
Mystique IV,T3255,,,TretheweyMarten,
Myth,1136,,,Brohall,
Myth II,514,,,Van de Stadt,
Myth Isle,T2531,,,Alan Warwick,
Myth Of Eridani,2183,Keelboat,,Capt W L Fraser,
Myth Of Karori,3168,,,B Askew,
Mythos,8383,Keelboat,Beale 11.6,R Beale,Auckland
Mythra,1987,,,B Birdsall,
Myway,L1638,,,Knight,
N'tkolosh,T3114,,,F de Joux,
Na Eala,5219,,Camelot,R L Stewart,
Na-Kal,T1263,,,Honey/Trethewey,
NÃ˜RD,9968,Keelboat,Kaskelot,Peter Bruun,
Nadezda,T1418,,Kestrel,F de Joux,
Nadia,T2834,,Moonraker,A Sedlemeyer,
Nadia II,4964,Keelboat,Lotus 10.6,Alan Wright,
Nagle Cove,7335,,GBE cat,M Tennant,
Nagu,5032,,Davidson 35,L Davidson,
Nahanne,4823,Other,,R Hartley,
Nahanni,T1318,,Davidson M20,L Davidson,
Nahe,775,Other,Southerly,Lees,
Naiad,L1845,,,,
Naiad,7093,Multi-hull,,A Piver,
Naiad,361,,,Rudder,
Naiad II,4395,,,R Hartley,
Naid,3573,,,Laurent Giles,
Naitasi,T3092,,Farr 7.5,Bruce Farr,
NAKESA,10114,Keelboat,Swan 57,Sparkman & Stevens,
Nakiska,5971,,Lidgard 36,J Lidgard,
Nam Sang,42,,,Belknap Paine,
Nama Rua,T2017,,Kestrel,F de Joux,
NÄmaka,9096,Keelboat,Elan 410,Rob Humphreys,Auckland
Namale,T153,,Kestrel,McNair,
Namba,4704,,,H Wagstaff,
Name Change,3773,,,L Davidson,
NAME TBA - sail number held,,Keelboat,Brenta 60,,
Namu,182,Keelboat,Young NZ 37,Jim Young,Auckland
Nancy,T877,,,R Hartley,
Nancy Jean,1490,,,R Hartley,
Nanea,9302,Keelboat,Swan 44,Sparkman & Stephens,Auckland
Nanette,T240,,Hartley 16,R Hartley,
Nanette,337,,,L F Herreshoff,
Nanette II,1028,,,,
Nanook,T2927,,,Honey/Trethewey,
Nantucket II,2358,,,H Wagstaff,
Naoma,742,,,J Lidgard,
Naomi,T717,,,TretheweyMarten,
Napoleon I,T2024,,,R Hartley,
Napoleons Piano,T2094,,Caribou 20,F Pelin,
Narani,2181,,,Ryan,
Nardene,T520,,,Honey/Trethewey,
Nardine,3143,,,R Hartley,
Nariam,3108,,,Alan Wright,
Narita,T1769,,,Owen Woolley,
Narnia,3941,Keelboat,Reactor,P Whiting,
Narnia II,8725,Keelboat,,J J Design,
Narwee,649,Keelboat,,A Buchanan,
Nassau,3184,Keelboat,Pacific 38,Alan Smith,
Natalia,4095,,,Alan Wright,
Natascha,T524,,,Alan Wright,
Natasha,T1804,,,Alan Wright,
Natasha,190,Keelboat,NZ 37,Jim Young,
Natine,2644,Keelboat,S & S 24,Sparkman & Stephens,
Native,6742,Other,,M Birdsall,
Nattai,6406,Other,Lotus 10.6,Alan Wright,Nelson/Marlborough
Natural Ability,5020,,,Bruce Farr,
Natural Choice,5638,,Noelex 30,B Farr,
Natural Flight,6339,,Farr 1020,Bruce Farr,
Natural Flight,7327,,Catamaran,J Mitchell,
Natural Gas,T848,Trailer Yacht,,V Chubb,
Natural Gas,3639,Other,Hot Pot,H Evans,
Natural High,4003,,,H Wagstaff,
Natural Magic,4196,Keelboat,Farr 11.6,Bruce Farr,
Naughty Pudding,T3236,,Explorer,V Chubb,
Nauplius I,3967,Other,,Lees,
Nauti Buoys,T3946,,Sigrid,D Nixon,
Nauti Cat,7478,Multi-hull,,Chris Cochrane,
Nauti Monster,9141,Keelboat,Platu 25,Bruce Farr Yacht Design,Bay of Plenty
Nautical Weaver,6046,,,,
Nautilass,R1952,Keelboat,First 36,Lorenzo Argento,
Nautilus,6054,Keelboat,,L F Herreshoff,
Nautique,5306,Keelboat,Young 88,Jim Young,
Nautique,T2523,,,L Davidson,
Navaho,5848,Other,,Bruce Farr,
Navahoe II,L1686,,,,
Navara,355,Keelboat,Carpenter 37,Rob Carpenter,
Navel,T2989,,,Honey/Trethewey,
Navigator,4066,Keelboat,,Alan Wright,
Navire,2482,Keelboat,Pacific 38,Alan Smith,
Navman,8436,Other,,J Welsford,
Nazir,3678,,Cavalier 36,R Salthouse,
Nazomi,6385,Other,,R Hartley,
Near & Farr,5210,Keelboat,Farr 1020,Bruce Farr,
Neat-Aye,T1333,,,R Hartley,
Nebesa,4967,,,J Lidgard,
Nebula,7069,Multi-hull,,A Piver,
Nebula,1767,,Variant,Alan Wright,
Nedax Racing,8985,Keelboat,Thompson 30,Steve Thompson,
Neddals,T1403,,Ventura,Owen Woolley,
Nee-Tay,T869,,,,
Nefertiti,1198,Keelboat,,Jim Young,
Negrita,8192,Keelboat,Reactor,Paul Whiting,
Neighbourhood Threat,4679,Keelboat,,K Lidgard,
Nelani,5211,Keelboat,Lotus 9.2,Alan Wright,
Nell Gwyn,2780,Keelboat,Farr 1104,Bruce Farr,Auckland
Nellie,T596,,,Honey,
Nelsons Blood,2332,,,J Spencer,
Nemesis,T2690,,,TretheweyMarten,
Nemesis,197,,NZ 37,Jim Young,
Nemine,200,Keelboat,,Jim Young,
Nemo,T3185,Trailer Yacht,Noelex,Honey/Trethewey,
Nenya,5922,,,E R Sayer,
Neo,,Launch,Maritimo M51,Maritimo,
Nephrite,1522,,Cavalier 32,R Salthouse,
Neptun,9652,Keelboat,Hanse,,
Neptune,375,Other,,F Lidgard,
Neptune,T1127,Trailer Yacht,Noelex 22,Honey/Trethewey,Canterbury
Neptune,3960,Keelboat,Pacer 24,Alan Wright,
Neptune II,5647,Keelboat,Whiting 29,Paul Whiting,
Nereia,4140,,H 28,L F Herreshoff,
Nereid,T791,,,Bruce Farr,
Nereid,1206,Keelboat,Young NZ 37,Jim Young,
Nereid 3,9406,Keelboat,Delphia 40.2,Andrzej Skrzat,
Nereid II,T104,Trailer Yacht,Hartley 16,R Hartley,
Nereid II,2655,,,J Brooke,
Nereida,T2345,,,Hart Bros,
Nereides,T487,,,R Hartley,
Nereides,28,Keelboat,,Potter,
Nerfertiti,9669,Keelboat,,Alder yachts,Northland
Nerinda,991,,,J Spencer,
Nerine,5342,,Townson 9.6,D T Townson,
Nerissa,1765,Keelboat,,Alan Wright,
Nerissa K,,Keelboat,Contessa 32,,Nelson/Marlborough
Nerita,895,,,C Capon,
Neros,6643,,,D Ganley,
Nessie,T1222,,,Bruce Farr,
Nessie II,886,,,E Cox,
Netta,5415,Other,H 28,L F Herreshoff,
Nette,T3150,,Hartley 16,R Hartley,
Neutrino,1024,,,G Elliott,
Nevenka,2716,Keelboat,,D T Townson,Auckland
Never Ending,8292,Keelboat,,John Pugh,
Never Never Land,T3737,Trailer Yacht,,Alan Wright,
Nevis,T3099,Trailer Yacht,Elliott 5.9,Greg Elliott,Wellington
New Broom,T3521,Other,,D Elder,
New Dawn,5249,Trailer Yacht,Unknown,H Evans,
New Force,5754,Keelboat,SR26,Gary Lambert,Auckland
New Inn,T2649,,,Alan Wright,
New Order,5717,,,Gary Mull,
New Star 888,6483,Keelboat,H28,L F Herreshoff,
New Zealand,A4,Other,Americas Cup,Bruce Farr,
New Zealand,AA5,Other,,,
New Zealand,A3,,,Bruce Farr,
New Zealand,AA2,Other,,Bruce Farr,
New Zealand,6771,,K,Bruce Farr,
New Zealand Endeavour,C1,,,B Farr,
New Zealand Kz 7,6007,,,NZ Design Group,
New Zealand Line,T4008,,Elliott 5.9,Greg Elliott,
New Zealand Maid,4320,Other,H45,L F Herreshoff,
News,8489,Keelboat,Farr 1020,Bruce Farr,
News Corporation,8679,,,B Farr,
Nexo,T4293,Trailer Yacht,Nexo First,Bartosz Sulkowski,
Next October,8417,,,R Crowe,
Nexus,4535,Keelboat,Whiting 29,P Whiting,
Nga Hau E Wha,3025,Keelboat,Farr 1104,Bruce Farr,Auckland
Nga Waka,9593,Keelboat,Amel Santorin 46,Amel,
Ngaere,490,Keelboat,,R Steadman,
Ngahu,T2618,,Hartley 18,R Hartley,
Ngaio,616,,,R Tucker,
Ngaio Rose,10067,Keelboat,Hanse,Judel/vrolijk & Co,
Ngairo,633,,,L F Herreshoff,
Ngaitro,815,,,R Hartley,
Ngakuta,5425,Keelboat,Farr 1020,Bruce Farr,Auckland
Ngamotu,T2844,,Sabre 20,A Scott,
Ngarangi,459,,,,
Ngareta,T1312,,Quicksilver,B Holloway,
Ngarimu,746,,,,
Ngaroma,6854,,,D Ganley,
Ngaroto,4485,,Compass 790,H Wagstaff,
Ngaru,T138,,,R Hartley,
Ngaru,5072,Keelboat,Spencer 36,J Spencer,
Ngaru II,T156,,,R Hartley,
Ngatahi,7176,,Catamaran,F Pelin,
Ngatahi,4128,Other,,A Mummery,
Ngataringa,14,Keelboat,,C Wild,
Ngatiawa,12,Keelboat,,C & B,
Ngatimameo,7259,,,A Piver,
Ngatira,102,Keelboat,B,Chas Bailey,
Ngatiwai,31,Keelboat,,D T Townson,Auckland
Ngatoru,3167,Keelboat,Pelorus,Compass Yachts,Waikato/Thames
Ngawi,6994,Keelboat,dobson,Keith Dobson,
Nice One,3270,Other,,J Spencer,
Nice Tri,7592,Multi-hull,Tremolino,Richard Newick,
Nice Try,T4809,Trailer Yacht,Ross 780,M Ross,
Nick Nack,4367,,Townson 28,D T Townson,
Nickemy,T2457,,,,
Nicola,8393,,,Hartley,
Nicole,1624,,,L F Herreshoff,
Nifty,T4060,,Ventura,,
Nifty,T2998,Other,,Honey/Tretheway,
Night Fever,3832,Other,,L F Herreshoff,
Night Music,9982,Other,,,
Night Owl,T3515,,Young 6.7,Jim Young,
Night Owl,4657,,Lotus 9.2,Alan Wright,
Night Shift,3202,Keelboat,H 28,L F Herreshoff,
Nightcap,3821,Keelboat,Whiting 29,P Whiting,
Nightfall,2938,,,Alan Wright,
Nightnurse,T3353,Trailer Yacht,Ross 780,Murray Ross,
Niho,2530,,,,
Nijinsky,6098,Keelboat,Young 88,Jim Young,
Nikau,,Keelboat,Bavaria 50,Farr,
Nikau,175,Keelboat,Paul Stock,Paul Stock,Auckland
Nike,3869,,H 28,L F Herreshoff,
Nikita,6013,Other,Mull 40,Gary Mull,
Nikita,1314,Keelboat,,L F Herreshoff,
Nikitoo,625-18,Keelboat,Oyster 65,Humphreys,
Niko,T67,Trailer Yacht,,McNair,
Nikolina,4867,Keelboat,Farr 727,Bruce Farr,
Niksen,30040,Keelboat,Dehler 30 One design,Judel Vrolik,
Nilaya,8501,Keelboat,,Woolocot/Easton,
Nimble,3756,Other,,J Lidgard,Auckland
Nimble,T2786,,,P Whiting,
Nimbus,493,Other,,B Woollacott,
Nimbus,T62,,,R Hartley,
Nimbus II,T3091,,Kestrel,,
Nimbus II,258,Other,,J Haaker,Auckland
Nimbus III,T538,,Sabre 22,A Scott,
Nimbus III,3646,,H 28,L F Herreshoff,
Nimbus IV,4221,,,Alan Wright,
Nimbus Noelex,T1842,Other,,Honey/Trethewey,
Nimbus V,T4566,,,TretheweyMarten,
Nimrod,519,Keelboat,Max Carter 29,Max Carter,
Nimrod,T376,Other,,Elder,
Nimrod II,T259,,,R Hartley,
Nimrod III,T688,,Farr 6000,Bruce Farr,
Nimrod Of Thames,3430,,,Alan Wright,
Nimrodel,2369,,,J Lidgard,
Nimuae,3714,Keelboat,Lotus 9.2,Alan Wright,
Nina,1180,Keelboat,,Buchanan,
Nina,1771,,,R Hartley,
Nina,T1807,,Hartley 16,R Hartley,
Nina II,T1437,,,Armstrong/Bligh,
Nina Marie,T2117,,Kestrel,F de Joux,
Ninamu,9690,Keelboat,Beneteau,Finot,
Nine 42,942,,Noelex 30,Bruce Farr,
Nine Forty,6634,,Noelex 30,B Farr,
Ninepence,2423,Keelboat,H 28,L F Herreshoff,
Ninety Nine,6599,,Young 99,Jim Young,
Ninja,7660,Multi-hull,,Brett Bakewell-White,Auckland
Ninjo Target,T3846,,,TrethewayMarten,
Niord,,Keelboat,Lavnin 38,,
Nipaway,1589,,,Van de Stadt,
Nipper,1548,,,,
Nirvana,T1060,Trailer Yacht,,TretheweyMarten,
Nirvana,5727,,Raven 31,Owen Woolley,
Nirvana,T2032,,,M Elmes,
Nirvana,170,Keelboat,,R L Stewart,
Nirvana II,5684,Keelboat,Farr 1020,Bruce Farr,
Nirvana III,9270,Keelboat,Dufour 45 E,Umberto Felci,
Nisumu,T1889,,,Alan Wright,
Nitro,7641,Multi-hull,,Robin Chamberlin,
Nivana,1236,,,D Townson,
Nizam,1073,Keelboat,NZ 37,J Young,
Njonja,4902,,,Breekveldt,
No Angel,4325,Keelboat,Shoalcraft,Chris Brunnel,Auckland
No Excuse,T3292,Trailer Yacht,Aquarius 22,C Jeffries,
No Hassle,8195,,,D Ganley,
No Limits,T4191,Keelboat,Shaw 650,Shaw,
No Name,T639,,,D Nixon,
No Name,T174,,,R Hartley,
No Name,T3111,,,F de Joux,
No Name,T2684,,Farr 6000,Bruce Farr,
No Name,T2390,,,A Scott,
No Name,T2136,,,,
No Name,T1373,,,,
No Name,T836,,,F Pelin,
No Name,T769,,,G Arnold,
No Name,T716,,Young 5.7,Jim Young,
No Name,T643,,,F de Joux,
No Name,T622,,,Honey/Trethewey,
No Name,T578,,,P Whiting,
No Name,T441,,,J Brooke,
No Name,T382,,,Bruce Farr,
No Name,T288,,,McNair,
No Name,T230,,Farr 6000,Bruce Farr,
No Name,T209,,Farr 6000,Bruce Farr,
No Name Yet,9917,Keelboat,Hanse,,
No Problem,T3757,Trailer Yacht,Elliott 7.4,Greg Elliott,Waikato/Thames
No Regrets,5488,Keelboat,Young 88,Jim Young,
No Response,4603,Keelboat,Davidson 28,L Davidson,
No Sweat,T1456,,,B Roberts,
No Worries,4842,Keelboat,Ross 930,Ross Murray 930,
Noah's Bow,T3791,Trailer Yacht,Hartley 16,R Hartley,
Noalani,3192,,,R Hartley,
Noble Edition,3558,,,J Spencer,
Nocturne,550,Keelboat,Townson 25,D T Townson,
Noddy,T309,,,F Pelin,
Noe Noe,8549,,Farr 1220,Bruce Farr,
Nok Nok,T1469,,,,
Nokomis,1610,,,P Whiting,
Nola,T948,Trailer Yacht,,Honey/Trethewey,
Nom De Plume,5936,,Oceans,Alan Wright,
Nomad II,1641,Keelboat,Cavalier,RJ Salthouse,
Nomad V,847,Keelboat,,J Lidgard,
Nomadic Spirit,4390,,,R Hartley,
Nomos,8471,Keelboat,,,
Nona,5241,Keelboat,Young 88,Jim Young,
Noname,T1426,,Sigrid,D Nixon,
Noname,T1252,,,B Holloway,
Noname,T1298,,,Walch,
Noname,T1329,,,B Holloway,
Noname,T1427,,,B Holloway,
Noname,T2121,,,D Nixon,
Noname,T2025,,,A Scott,
Noname,T1919,,,R Hartley,
Noname,T1833,,,Alan Wright,
Noname,T1696,,,R Hartley,
Noname,T1716,,,Alan Wright,
Noname,T1710,,,R Hartley,
Noname,T1676,,Caribou 20,F Pelin,
Noname,T1648,,,F Pelin,
Noname,T1647,,,F Pelin,
Noname,T1546,,,Alan Wright,
Nonstop,2299,Keelboat,Young 99,Jim Young,
Nordic,3087,Keelboat,Tracker,Alan Wright,
Nordlys,2064,Other,Townson 32,D T Townson,
Noreast,1363,Other,,R Salthouse,
Noreaster,8193,Other,,B Roberts,
Norella,T1829,,,F Pelin,
Nori,10008,Keelboat,Jeanneau Sun Odyssey 35,,
Noridiam,9396,Keelboat,Steel Maid 35,Allan Pape,
Norine,470,Keelboat,,Buchanan,
Norseman,248,,,K Reimers,
Norseman II,4073,Keelboat,Tracker,Alan Wright,Auckland
North Road,9676,Keelboat,,Pagent,
North Sails,11997,Keelboat,Farr MRX,Bruce Farr,
North Star,665,Keelboat,,D Ganley,
Northbound,5030,Keelboat,Farr 11.6,Bruce Farr,
Northern Lights,2875,,,L F Herreshoff,
Northern Rebel,8915,Keelboat,Beneteau 40.7,Farr Yacht Desgn,Nelson/Marlborough
Northern Song,9597,Keelboat,Hanse 415,Judel Vrolijk,
Northerner,43,,,R L Stewart,
Northwind,1154,,,Bluebird,
Northwind,590,,,A Buchanan,
Nosaka,8560,Keelboat,White 40,Chris White,
Nostalgia,4759,Other,Moonraker,A Sedlmayer,
Not Negotiable,6609,Keelboat,Young 99,Jim Young,
Notorious,9447,Keelboat,First 44.7,Bruce Farr,Auckland
Notos 3,9890,Keelboat,Colin Childs 35,Colin Childs,Northland
Notre Dame,189,,NZ 37,Jim Young,
Notus,1252,,,R Hartley,
Nourmahal,T2793,,Kestrel,,
Nourmahal II,8533,,,Philippe Briand,
Nova,1384,,,J Lidgard,
Nova Caprice,1896,,Nova,Alan Wright,
Nova Scotia,3159,Other,Nova,Alan Wright,
Novacaine,6474,Keelboat,Nova,ALAN WRIGHT,
Novadraft,3435,,,Alan Wright,
Novalis,T2272,,Farr 6000,Bruce Farr,
Novara,1595,,Nova,Alan Wright,
Novariety,4171,,,Alan Wright,
Novark,6152,Other,Nova,Alan Wright,
Nuance,T3640,,,Honey/Trethewey,
Nuchus II,L1582,,,,
Nuclear,2051,,,P Whiting,
Nuera,4189,,,H Wagstaff,
Nuffin-Dun,T3449,,Sigrid,D Nixon,
Nugget,359,Keelboat,,R J Salthouse,
Nugget,T863,,,C Jeffrey,
Nukawai,2962,Keelboat,,C White,
Nullari,6169,,Lotus 1280,Alan Wright,
Number 1,6130,,,H Evans,
Numero Uno,T1130,Trailer Yacht,,R Hartley,
Numidia,T3487,,,TretheweyMarten,
Nureme,5992,Keelboat,Chieftain 38,Alan Wright,Auckland
Nush,6948,,Townson 30,D Townson,
Nut Case,5957,Keelboat,,Reynolds,
Nutcracker,2980,,,Harmony Yachts,
Nutrasweet,T4009,,Elliott 5.9,Greg Elliott,
Nutrocker,T1267,,,,
Nv,8838,Keelboat,Open 66,Nandor Fa,
NV2,NZL8888,Keelboat,Wilkinson,Bob Wilkinson,
NY7678,L9604,Launch,190 Montauk,Boston Whaler,Auckland
Nyala,1759,,,Woollacott,
Nyala,2206,,,R Hartley,
Nyaminyami,T660,,,J Brooke,
Nyana Leesey,7413,,,R Jones,
Nyora,8268,Keelboat,,Bruce Hicks,
Nyssa,6244,,Lotus 10.6,Alan Wright,
Nyx,T3616,Trailer Yacht,Elliott 5.9,Greg Elliott,Auckland
Nz Challenge,L1844,,,Ewbank & Brooke,
Nzl 403,403,Keelboat,,Bakewell-White,
Nzl40,9981,Other,Americas Cup,Bonvert,
Nzl41,9978,Other,,,
Nzog,T3069,Trailer Yacht,,Honey/Trethewey,
Nzsail.Com,10772,Keelboat,Melges 24,Reichel Pugh,
O.B.1,5882,Keelboat,Young 88,Jim Young,
O.P.M.,4384,,Nova,Alan Wright,
O'sinnerman,9194,Keelboat,,L Davidson,
Oariti,5138,Keelboat,Young 88,Jim Young,Auckland
Oasis,5193,,Farr 940,Bruce Farr,
Oaxaca,5598,Keelboat,Ross 830,Murray Ross,
Obelix,2973,,,Roberts,
Obelix II,8028,Keelboat,Unknown,Haag,Auckland
Obi-Wan,T2413,Trailer Yacht,,Honey/Trethewey,
Oboe,8140,Keelboat,Chico 355,Keith Eade,
Obsession,T2940,,,TretheweyMarten,
Obsession,L1028,,,Jim Young,
Obsession,1879,,Farr 727,Bruce Farr,
Obsession II,T2518,,Aquarius 22,C Jeffrey,
Obsession Wellington,9368,Keelboat,Whiting 40,Paul Whiting/Richard Edlin,Wellington
Obsidian,1705,Keelboat,Saraband,J Spencer,
Ocarina,4739,,,D Ganley,
Occam's Razor,7517,,Catamaran,Ron Given,
Occams Razor,9354,Keelboat,Farr 9.2,Bruce Farr,
Ocean Adventure,6689,,,Alan Wright,
Ocean Alley,9643,Keelboat,Dufour 485 Grande Large,Umberto Felci / Patrick Roseo,Nelson/Marlborough
Ocean Blues,5782,Keelboat,Oceans,Alan Wright,
Ocean Breezes,7608,Multi-hull,Prout Escale 39,"Prout Catamarans, England",Auckland
Ocean Charm,9472,Keelboat,Bavaria 42,J.J. Design,Auckland
Ocean Express,5646,Keelboat,Chico 40,Gary Mull,
Ocean Filly,9511,Multi-hull,Farrier F 33 X,Ian Farrier,
Ocean Gem,8810,Keelboat,Beneteau 445,Bruce Farr,Auckland
Ocean Lady,6564,,,Custom,
Ocean Lover,6407,,,F Pelin,
Ocean Lure,9399,Keelboat,Hanse 415,Judel Vrolijk & Co,
Ocean Maid,1119,,,Scott,
Ocean Maiden,2773,,,Alan Wright,
Ocean Pacific Express,7770,Multi-hull,,Malcolm Tennant,
Ocean Pearl,9896,Keelboat,Amel Super Maramu,Amel,Northland
Ocean Phoenix,6264,,,,
Ocean Rhythm,5868,,Townson 8.8,D T Townson,
Ocean Rider,8610,,,D H Ganley,
Ocean Role,8236,Keelboat,RAY BEALE,RAY BEALE,
Ocean Rose,17730,Keelboat,,Jim Young,
Ocean Whisper,8385,Keelboat,,Denis Ganley,
Oceana,825,Keelboat,,J Lidgard,
Oceaneer II,7495,,Trimaran,J Brown,
Oceania,8946,Keelboat,,Catalina Yachts,
Oceanides,8435,,,A Mummery,
Oceanis 41.1,9584,Keelboat,Beneteau,Beneteau,
Oceans Eleven,9192,Keelboat,Beneteau,Beneteau,
Ocelot,4912,,H 28,L F Herreshoff,
Octopus,588,,Young 88,Jim Young,
Octopus Island,9805,Keelboat,Irwin,Ted Irwin,
Octopussy,8552,,,Pelin,
Oddfellow,3394,,Davidson 28,L Davidson,
Odds 'N' Ends,4663,,,Alan Wright,
Odessa,1229,Keelboat,,J Spencer,
Odette,250,Keelboat,Stewart 34,R L Stewart,Waikato/Thames
Odette II,2122,Keelboat,Spencer 30,John Spencer,
Odile,T2695,,,Jim Young,
Odin,1770,Keelboat,Spencer 30,J Spencer,
Odin's Bird,6033,Keelboat,Raven 31,Owen Woolley,
Odtaa,759,,,J R Godwin,
Odyessy,2042,,,R Hartley,
Odyssea,3255,,,,
Odysseus,8833,Keelboat,,Angelo Lavranos,
Odyssey,T3128,Trailer Yacht,Trojan 750,A Warwick,
Odyssey,7065,Multi-hull,,,
Odyssey,,Launch,Riviera 48 offshore,Riviera,
Odyssey,3405,Keelboat,Bavaria 34 Cruiser,J&J Design,Auckland
Odyssey 2001,T2001,,,N Honey,
Odyssey II,712,,,J Woollacott,
Odyssey III,4630,,,C & C,
Odyssey IV,9540,Keelboat,Hanse 575,Judel Vrolijk,Auckland
Odyssey V,8296,Keelboat,Young 12,Jim Young,
Off 'N' Away,T2576,,,,
Off Beat,1720,Keelboat,Raven 26,Owen Woolley,Northland
Off The Hook,4700,Keelboat,Marauder,Alan Wright,
Offcut,412,,,P A Atkinson,
Offshore,1938,,,J Lidgard,
Offshore Haven,,Other,Leopard Sailing Cat 47,Robertson & Cain,
Offspring,1928,,,O Woolley,
Ohakune,,Other,OC1,Are,
Ohana,7611,Multi-hull,,Alexander of Holland,
Ohana II,22222,Multi-hull,Lagoon 500,VPLP,
Ohms,1922,,,J Gladden,
Ohura,T4,,,R Hartley,
Oi,1718,,Spencer 32,J Spencer,
Oink,5021,Keelboat,Ross 930,Ross,Bay of Plenty
Okaha,837,,Matangi,R L Stewart,
Okaha II,1866,Other,Easterly,C A Smith,
Oke Doke,T749,Other,Retriever,J van Giels,
Okeanus Messenger,,Multi-hull,Vaka,Motu,
Okere,1743,,,L F Herreshoff,
Okere,7225,,,M Tennant,
Oki Doki,11993,Other,Farr MRX,Bruce Farr,
Oki Max,8468,Keelboat,Farr 41 MX,Bruce Farr,Auckland
Okiana,5913,Keelboat,,Alan Wright,
Okovanggo,7410,,Trailertri,I Farrier,
Ol Meri,T594,,Catalina 28,J Brooke,
Old Bill,T86,,,Bruce Farr,
Old Bill,T3618,Other,Aquarius 22,C Jeffrey,
Old mate,10025,Keelboat,Beneteau First 435,German Freres,
Old Port,T1768,,,Alan Wright,
Old Spice,T3788,,Kestrel,McNair,
Old Spice,4471,Keelboat,S & S 24,Sparkman & Stephens,
Old Tawny,T5888,Trailer Yacht,Beale,Ray Beale,
Oldsmobile,5416,Keelboat,Rocket 9.4,Jim Young,
Olive,7905,Multi-hull,Lagoon 440,Lagoon Yachts,
Oliver Cool,4313,,,J Reynolds,
Oliver Lang,2212,Keelboat,Woollacott,WJ Woollacott,
Oliver Sudden,5869,Keelboat,Young 1034,Young,
Oliver Twist,3855,Keelboat,Townson 34,D T Townson,Auckland
Oliver Zanzibar,T1866,,,N Humphreys,
Ollies Trolley,T3672,,Williams 7,J Williams,
Olmari,5632,Keelboat,Lotus 9.2,Alan Wright,
Olwen,811,,,Smith,
Olwyn D,3097,,,Alan Wright,
Olympia,2270,,,D T Townson,
Olympus,T908,,Farr 740 Sp,Bruce Farr,
Olympus,L1066,Other,,Pelin,
Olympus,L1600,Other,,B Wilson,
Omahu,9060,Keelboat,Elan 434,Rob Humphries,
Omaio,T362,,,N Honey,
Omala,T540,,Hartley 16,R Hartley,
Off 'N' Away,T2576,,,,
Off Beat,1720,Keelboat,Raven 26,Owen Woolley,Northland
Off The Hook,4700,Keelboat,Marauder,Alan Wright,
Offcut,412,,,P A Atkinson,
Offshore,1938,,,J Lidgard,
Offshore Haven,,Other,Leopard Sailing Cat 47,Robertson & Cain,
